一《いち》 | #090 こく》(UK)の一《いち》地域《ちいき》。
試合終了《しあいしゅうりょう》 | #299 >が鳴《な》り、試合終了《しあいしゅうりょう》。スコアは2対《
試験中《しけんちゅう》 | #219 試験中《しけんちゅう》の教室《きょうし
話し声《はなしごえ》 | #157 ｜話し声《はなしごえ》
話題《わだい》 | #125 った今《いま》も話題《わだい》はそこばかりだ。
誇《ほこ》 | #087 誇《ほこ》らしい
認《みと》 | #060 違《まちが》いを認《みと》めて自分《じぶん
語尾変化《ごびへんか》 | #109 rance + 語尾変化《ごびへんか》。French 
語感《ごかん》 | #243 》に選《えら》ぶ語感《ごかん》。selecti
誤解《ごかい》 | #140 誤解《ごかい》
説教《せっきょう》 | #145 説教《せっきょう》
読み上《よみあ》 | #303 せんばんごう》の｜読み上《よみあ》げに、会場《かい
読み終《よみお》 | #244 ｜読み終《よみお》えた漫画《まんが
読書感想文《どくしょかんそうぶん》 | #102 読書感想文《どくしょかんそうぶん》を夜《よる》10
読者《どくしゃ》 | #310 読者《どくしゃ》
調整《ちょうせい》 | #298 に量《りょう》を調整《ちょうせい》できる仕組《しく
請求《せいきゅう》 | #247 請求《せいきゅう》する
負傷《ふしょう》 | #137 jured = 負傷《ふしょう》する。
貫《つらぬ》 | #148 ustice>を貫《つらぬ》くのが信条《しん
責《せ》 | #088 責《せ》める
買い取《かいと》 | #244 より高《たか》く｜買い取《かいと》ってもらえた。
貸し借《かしか》 | #057 ｜貸し借《かしか》り
費《つい》 | #266 費《つい》やした
資料館《しりょうかん》 | #018 島《ひろしま》の資料館《しりょうかん》では、1945年
賞《しょう》 | #003 う》。アカデミー賞《しょう》の academ
賞《ほ》 | #071 築《けんちく》の賞《ほ》も受賞《じゅしょ
質《しつ》 | #050 それんしゅう》の質《しつ》がまるで変《か》
赤道《せきどう》 | #149 とうぶ》にあり、赤道《せきどう》が国土《こくど》
足元《あしもと》 | #078 とり》ひとりに「足元《あしもと》にお気《き》をつ
路上《ろじょう》 | #205 路上《ろじょう》の<perfor
身近《みじか》 | #063 《ざいりょう》は身近《みじか》でも、発想《はっ
車同士《くるまどうし》 | #005 《こうさてん》で車同士《くるまどうし》の<accide
車道《しゃどう》 | #158 げんそく》として車道《しゃどう》の左側《ひだりが
軒先《のきさき》 | #235 が覚《さ》めた。軒先《のきさき》には1メートルの
転倒《てんとう》 | #137 転倒《てんとう》で足首《あしくび
輸出《ゆしゅつ》 | #196 erseas>に輸出《ゆしゅつ》していて、工場《
輸血《ゆけつ》 | #290 に分《わ》かれ、輸血《ゆけつ》の際《さい》には
辞退《じたい》 | #161 辞退《じたい》した
農薬《のうやく》 | #150 農薬《のうやく》は害虫《がいちゅ
辺《あた》 | #014 rea = この辺《あた》り。面積《めんせ
近況《きんきょう》 | #212 って裏《うら》に近況《きんきょう》をひとこと書《か
返事《へんじ》 | #245 sent>した。返事《へんじ》は1週間《しゅう
返品《へんぴん》 | #233 返品《へんぴん》する
追い抜《おいぬ》 | #274 ｜追い抜《おいぬ》く
追悼《ついとう》 | #174 追悼《ついとう》の
追跡《ついせき》 | #015 追跡《ついせき》する
退職後《たいしょくご》 | #287 父母《そふぼ》は退職後《たいしょくご》、キャンピングカ
逆《さか》 | #154 面《すいめん》に逆《さか》さまの富士山《ふ
逆戻《ぎゃくもど》 | #135 逆戻《ぎゃくもど》りする
逆転満塁《ぎゃくてんまんるい》 | #124 い》裏《うら》に逆転満塁《ぎゃくてんまんるい》ホームランを打《
通《とう》 | #116 高《たか》3まで通《とう》しで1st〜12
通帳《つうちょう》 | #021 預《あず》けた。通帳《つうちょう》に記帳《きちょう
通行止《つうこうどめ》 | #005 うろ》がしばらく通行止《つうこうどめ》めになった。
通訳者《つうやくしゃ》 | #144 通訳者《つうやくしゃ》
速度《そくど》 | #056 速度《そくど》
連用《れんよう》 | #250 10年《ねん》連用《れんよう》していた日記帳《
連絡先《れんらくさき》 | #057 員《ぜんいん》で連絡先《れんらくさき》を交換《こうかん
逮捕《たいほ》 | #015 ested = 逮捕《たいほ》される。
進路《しんろ》 | #094 今後《こんご》の進路《しんろ》を解説《かいせつ
遂《と》 | #168 なんとかやり遂《と》げる
遊具《ゆうぐ》 | #234 《じてんしゃ》・遊具《ゆうぐ》に乗《の》る。
遊戯《ゆうぎ》 | #174 遊戯《ゆうぎ》の
遊牧《ゆうぼく》 | #182 だいそうげん》と遊牧《ゆうぼく》の国《くに》<M
遊牧民《ゆうぼくみん》 | #113 》で暮《く》らす遊牧民《ゆうぼくみん》は、<ger>と
運営《うんえい》 | #193 備《じゅんび》・運営《うんえい》する
過程《かてい》 | #101 y。長《なが》い過程《かてい》の末《まつ》に。
違法《いほう》 | #211 違法《いほう》な
適合《てきごう》 | #290 の際《さい》には適合《てきごう》の確認《かくにん
適当《てきとう》 | #270 適当《てきとう》に
選手権《せんしゅけん》 | #042 nship = 選手権《せんしゅけん》。
選抜《せんばつ》 | #243 県《けん》の選抜《せんばつ》チームに、私《わ
遺伝《いでん》 | #136 遺伝《いでん》だけ
遺品《いひん》 | #018 物《じつぶつ》の遺品《いひん》とともに学《まな
避難《ひなん》 | #228 refuge(避難《ひなん》)+ -ee。住
部活動《ぶかつどう》 | #007 後《ほうかご》の部活動《ぶかつどう》に加《くわ》えて
釈放《しゃくほう》 | #015 釈放《しゃくほう》する
重圧《じゅうあつ》 | #213 重圧《じゅうあつ》
野球場《やきゅうじょう》 | #075 ゅうよう》できる野球場《やきゅうじょう》の<dome>は
野生《やせい》 | #149 ロビ。サバンナの野生《やせい》動物《どうぶつ》
金属《きんぞく》 | #304 金属《きんぞく》の線《せん》。w
釘《くぎ》 | #037 を使《つか》い、釘《くぎ》をほとんど使《つ
針金《はりがね》 | #304 針金《はりがね》
鉄塔《てっとう》 | #302 鉄塔《てっとう》
鉄道《てつどう》 | #200 彼《かれ》の鉄道《てつどう》への<passi
銅像《どうぞう》 | #267 ていばん》で、「銅像《どうぞう》前《まえ》で5時
銘《めい》 | #183 座右《ざゆう》の銘《めい》
鍛《きた》 | #137 鍛《きた》える
鐘《かね》 | #299 鐘《かね》
長年《ながねん》 | #255 出《だ》すうち、長年《ながねん》の<shynes
長期《ちょうき》 | #127 初《はじ》めての長期《ちょうき》キャンプ。3日《
閉会式《へいかいしき》 | #043 閉会式《へいかいしき》
開会式《かいかいしき》 | #023 開会式《かいかいしき》が午前《ごぜん》
開催国《かいさいこく》 | #129 untry = 開催国《かいさいこく》。
開店前《かいてんまえ》 | #142 iew>をして、開店前《かいてんまえ》の仕込《しこ》み
開演《かいえん》 | #168 《のりか》えて、開演《かいえん》に<manage
間近《まじか》 | #284 いぞう》ラインを間近《まじか》に見《み》た。
関係《かんけい》 | #110 + -ship(関係《かんけい》を表《あらわ》す
防犯《ぼうはん》 | #015 人《はんにん》は防犯《ぼうはん》カメラの映像《え
限定《げんてい》 | #141 国内《こくない》限定《げんてい》の
陥《おち》 | #262 <slump>に陥《おち》ったが、フォーム
陸《ろく》 | #154 陸《ろく》に囲《かこ》まれ
陽気《ようき》 | #046 heerful(陽気《ようき》な)+ -ly。
随筆《ずいひつ》 | #286 随筆《ずいひつ》
隕石《いんせき》 | #028 隕石《いんせき》
際《さい》 | #290 輸血《ゆけつ》の際《さい》には適合《てきご
障害《しょうがい》 | #198 lympics。障害《しょうがい》のある選手《せん
隣国《りんごく》 | #152 人気《にんき》の隣国《りんごく》だ。
集中的《しゅうちゅうてき》 | #139 nsive = 集中的《しゅうちゅうてき》な。
集合時間《しゅうごうじかん》 | #125 集合時間《しゅうごうじかん》
離婚《りこん》 | #170 離婚《りこん》する
難《むつか》 | #132 難《むつか》しさ
難民《なんみん》 | #228 難民《なんみん》
難点《なんてん》 | #173 にが》いのだけが難点《なんてん》だ。
雨具《あまぐ》 | #187 《とざん》には、雨具《あまぐ》・地図《ちず》・
電報《でんぽう》 | #212 電報《でんぽう》
電気工事士《でんきこうじし》 | #037 電気工事士《でんきこうじし》
電波《でんぱ》 | #056 の中《なか》では電波《でんぱ》の<connec
電源《でんげん》 | #024 スマートフォンの電源《でんげん》を切《き》るよう
電線《でんせん》 | #014 のこ》っていて、電線《でんせん》も地中《ちちゅう
電話回線《でんわかいせん》 | #085 電話回線《でんわかいせん》
霊柩車《れいきゅうしゃ》 | #012 霊柩車《れいきゅうしゃ》
面接《めんせつ》 | #009 「面接《めんせつ》では結論《けつろ
面積《めんせき》 | #014 の辺《あた》り。面積《めんせき》の意味《いみ》も
音程《おんてい》 | #146 《せいりょう》・音程《おんてい》・表現力《ひょう
音読《おんどく》 | #135 10分《ふん》の音読《おんどく》を半年《はんとし
頂点《ちょうてん》 | #285 32校《こう》の頂点《ちょうてん》を目指《めざ》し
預《あず》 | #021 》<bank>に預《あず》けた。通帳《つう
領収書《りょうしゅうしょ》 | #188 領収書《りょうしゅうしょ》
願い事《ねがいごと》 | #305  wish = ｜願い事《ねがいごと》をする。
風力《ふうりょく》 | #018 風力《ふうりょく》の
風呂釜《ふろがま》 | #103 風呂釜《ふろがま》
風習《ふうしゅう》 | #119 会《しゃかい》の風習《ふうしゅう》。
風車《ふうしゃ》 | #302 風車《ふうしゃ》
食べ残《たべのこ》 | #298 ｜食べ残《たべのこ》しを<waste
食事中《しょくじちゅう》 | #169 食事中《しょくじちゅう》に肘《ひじ》をつ
食品《しょくひん》 | #298 waste = 食品《しょくひん》廃棄《はいき》。
食文化《しょくぶんか》 | #108 、パンやチーズの食文化《しょくぶんか》でも世界的《せか
食用油《しょくようあぶら》 | #190 食用油《しょくようあぶら》も石油《せきゆ》
食糧不足《しょくりょうぶそく》 | #120 戦後《せんご》の食糧不足《しょくりょうぶそく》という<hard
館内《かんない》 | #238 すり泣《な》きが館内《かんない》のあちこちから聞
駆け込《かけこ》 | #111 ん》前《まえ》に｜駆け込《かけこ》む生徒《せいと》
高層《こうそう》 | #113 高層《こうそう》ビル
魅了《みりょう》 | #097 魅了《みりょう》する
魔女《まじょ》 | #059 、私《わたし》は魔女《まじょ》役《やく》の黒《
