々《々》 | #498 n>の島《しま》々《々》、沖縄《おきなわ
消費税《しょうひぜい》 | #389 く》<plus>消費税《しょうひぜい》で、レジでの支払
淡《あわ》 | #368  blue = 淡《あわ》い青《あお》。
深海《しんかい》 | #303 ま、今《いま》も深海《しんかい》を泳《およ》いで
混合物《こんごうぶつ》 | #328 xture = 混合物《こんごうぶつ》。ミックスジュー
混雑《こんざつ》 | #124 混雑《こんざつ》した
清水寺《きよみずでら》 | #475 》を立《た》て、清水寺《きよみずでら》と金閣寺《きんか
清潔《せいけつ》 | #588 清潔《せいけつ》な
渓谷《けいこく》 | #606 渓谷《けいこく》
渡り鳥《わたりどり》 | #497 ｜渡り鳥《わたりどり》は冬《ふゆ》が近
渦《うず》 | #025 群《むら》がって渦《うず》を巻《ま》いてい
測量《そくりょう》 | #268 測量《そくりょう》する
湯船《ゆぶね》 | #424 た夜《よる》は、湯船《ゆぶね》に長《なが》くつ
湾《わん》 | #350 湾《わん》
湿原《しつげん》 | #315 た土地《とち》。湿原《しつげん》。
湿地《しっち》 | #198 湿地《しっち》
湿度《しつど》 | #261 idity = 湿度《しつど》。じめじめした状
湿気《しっけ》 | #248 湿気《しっけ》
湿疹《しっしん》 | #188 湿疹《しっしん》
満《まん》 | #206 を入《い》れる。満《まん》タンで1000キ
満喫《まんきつ》 | #203 reedom>を満喫《まんきつ》して、昼《ひる》
源泉《げんせん》 | #334 のお湯《ゆ》で、源泉《げんせん》から湧《わ》いた
漁港《ぎょこう》 | #183 漁港《ぎょこう》
漁船《ぎょせん》 | #623 漁船《ぎょせん》
漂《ただよ》 | #152 drift(漂《ただよ》う)+ wood
漂《ひょう》 | #028 い香《かお》りが漂《ひょう》い、焼《や》き上
漆《しつ》 | #121 erson>は、漆《しつ》を100回《かい
漆器《しっき》 | #604 漆器《しっき》
演歌《えんか》 | #396 演歌《えんか》
演説《えんぜつ》 | #005 》がある」という演説《えんぜつ》で歴史《れきし》
漫才《まんざい》 | #016 漫才《まんざい》
漫談《まんだん》 | #310 漫談《まんだん》
漬《つ》 | #299 <lemon>を漬《つ》け込《こ》むと、
潤《じゅん》 | #431 》で喉《のど》を潤《じゅん》した。
潮《しお》 | #607 潮《しお》の香《かお》り
激痛《げきつう》 | #464  pain = 激痛《げきつう》。
濁流《だくりゅう》 | #129 今日《きょう》は濁流《だくりゅう》に沈《しず》んで
濃《こ》 | #179 濃《こ》くなる
濃厚《のうこう》 | #434 の対《つい》。「濃厚《のうこう》な」の意味《いみ
瀬戸内《せとうち》 | #255 metown>は瀬戸内《せとうち》の港町《みなとま
火加減《ひかげん》 | #212 ろの<gas>の火加減《ひかげん》を調整《ちょうせ
火曜《かよう》 | #150 週《まいしゅう》火曜《かよう》の夜《よる》9時
火災報知器《かさいほうちき》 | #064 火災報知器《かさいほうちき》が鳴《な》っても
灯油《とうゆ》 | #212 灯油《とうゆ》ストーブ
炎天下《えんてんか》 | #465 炎天下《えんてんか》の公園《こうえん
炎症《えんしょう》 | #494 《つか》いすぎ・炎症《えんしょう》の痛《いた》み。
炭《すみ》 | #192 炭《すみ》
炭酸《たんさん》 | #266 炭酸《たんさん》
炭酸飲料《たんさんいんりょう》 | #100 炭酸飲料《たんさんいんりょう》の代表格《だいひ
点字《てんじ》 | #041 》い杖《つえ》で点字《てんじ》ブロックをたどっ
点検《てんけん》 | #506 エレベーターが点検《てんけん》中《なか》で、2
無制限《むせいげん》 | #301 無制限《むせいげん》の
無口《むくち》 | #081 無口《むくち》な
無政府状態《むせいふじょうたい》 | #133 無政府状態《むせいふじょうたい》
無気力《むきりょく》 | #388 無気力《むきりょく》な
無言《むごん》 | #506 い》分《ふん》は無言《むごん》になった。
無謀《むぼう》 | #050 無謀《むぼう》なだけの
焼《やき》 | #604  有田《ありだ》焼《やき》。tablewa
焼肉《やきにく》 | #319 焼肉《やきにく》では、<meat
煮詰《につ》 | #001 煮詰《につ》める
煮込《にこみ》 | #509 がいもをことこと煮込《にこみ》んで、とろみのあ
熟《じゅく》 | #044 むらさきいろ》に熟《じゅく》した小《ちい》さ
熟成《じゅくせい》 | #082 を固《かた》めて熟成《じゅくせい》させた食品《しょ
熱帯雨林《ねったいうりん》 | #198 orest = 熱帯雨林《ねったいうりん》。
熱気球《ねっききゅう》 | #029 lloon = 熱気球《ねっききゅう》。
熱湯《ねっとう》 | #047 water = 熱湯《ねっとう》。
燃料《ねんりょう》 | #206 燃料《ねんりょう》
爬虫類《はちゅうるい》 | #485 足《あし》のない爬虫類《はちゅうるい》。
爽快《そうかい》 | #452 爽快《そうかい》な
片《へん》 | #138 み》えるらしい。片《へん》や色彩《しきさい
片手《かたて》 | #287 きょく》をマイク片手《かたて》に歌《うた》いき
片方《かたほう》 | #487 に<sock>が片方《かたほう》だけ行方不明《ゆ
片道《かたみち》 | #087 《がっこう》まで片道《かたみち》1時間《じかん》
牛肉《ぎゅうにく》 | #036 牛肉《ぎゅうにく》
牧師《ぼくし》 | #005 キング牧師《ぼくし》は<Africa
物資《ぶっし》 | #146 で支援《しえん》物資《ぶっし》の到着《とうちゃ
犬種《けんしゅ》 | #285 犬種《けんしゅ》の名前《なまえ》
犯罪《はんざい》 | #163 る。「いたずらは犯罪《はんざい》です」と注意書《
狩人《かりうど》 | #262 unter = 狩人《かりうど》。job hun
独唱《どくしょう》 | #089 独唱《どくしょう》
独特《どくとく》 | #591 独特《どくとく》の
独裁《どくさい》 | #133 独裁《どくさい》
狭《はさ》 | #054 狭《はさ》める
猛暑《もうしょ》 | #273 猛暑《もうしょ》日《にち》の体育
猟銃《りょうじゅう》 | #263 nter>たちが猟銃《りょうじゅう》を手《て》に山《
献立《こんだて》 | #609 きゅうしょく》の献立《こんだて》が載《の》ってい
獲得《かくとく》 | #202 《ぎん》メダルを獲得《かくとく》したそうだ。
玄関先《げんかんさき》 | #027 玄関先《げんかんさき》
率《ひき》 | #005 けんうんどう》を率《ひき》い、「私《わたし
王冠《おうかん》 | #412 》で使《つか》う王冠《おうかん》の<prop>は
王女《おうじょ》 | #407 rincess(王女《おうじょ》)の対《つい》。
王妃《おうひ》 | #367 つて王《おう》と王妃《おうひ》が暮《く》らして
王子《おうじ》 | #407 王子《おうじ》
王手《おうて》 | #085 kmate = 王手《おうて》詰《つ》み。
王政《おうせい》 | #133 王政《おうせい》
王族《おうぞく》 | #367 王族《おうぞく》の住《す》まい。
王様《おうさま》 | #407 王様《おうさま》
現地《げんち》 | #254 》泊《と》まり、現地《げんち》の家族《かぞく》
現場《げんば》 | #015 制作《せいさく》現場《げんば》では、原画《げん
現役《げんえき》 | #202 現役《げんえき》の
現役時代《げんえきじだい》 | #202 《せんしゅ》で、現役時代《げんえきじだい》は銀《ぎん》メダ
現金《げんきん》 | #224 布《さいふ》が、現金《げんきん》もカードもそのま
環《かん》 | #537 》に、くっきりと環《かん》があるのが分《わ
甘《かん》 | #449 思議《ふしぎ》と甘《かん》みが｜引き立《ひ
甘酸《あまず》 | #044 に入《い》れると甘酸《あまず》っぱさが広《ひろ
生き返《いきかえ》 | #267 ひと口《くち》で｜生き返《いきかえ》る心地《ここち》
生前《せいぜん》 | #364 ゴッホは生前《せいぜん》ほとんど絵《え》
生息地《せいそくち》 | #238 生息地《せいそくち》
生産《せいさん》 | #218 カオ豆《まめ》の生産《せいさん》が盛《さか》んだ
生産者《せいさんしゃ》 | #409 ducer = 生産者《せいさんしゃ》・プロデューサー
生野菜《なまやさい》 | #447 生野菜《なまやさい》の料理《りょうり
田園《でんえん》 | #453 ル街《まち》から田園《でんえん》、やがて海岸線《
田植《たう》 | #184 を続《つづ》け、田植《たう》えから稲刈《いね
甲《かぶと》 | #369 手《て》の甲《かぶと》
甲冑《こうちゅう》 | #605 身《み》につけた甲冑《こうちゅう》が展示《てんじ》
男《おとこ》 | #228 aughter。男《おとこ》の孫《まご》は 
町中《まちじゅう》 | #403 》のずれもなく、町中《まちじゅう》のスピーカーが同
留学中《りゅうがくちゅう》 | #146 留学中《りゅうがくちゅう》の
留守《るす》 | #186 いしてもいい? 留守《るす》の間《かん》、金
留守番《るすばん》 | #010 <alone>で留守番《るすばん》をした。物音《も
略記《りゃくき》 | #576 t。21st と略記《りゃくき》する。
番地《ばんち》 | #002 んばんごう》から番地《ばんち》まで間違《まちが
畳《じょう》 | #018 《はじ》めた。6畳《じょう》一間《ひとま》に
畳《たたみ》 | #623 ろ》い帆《ほ》を畳《たたみ》んだ<yacht
疲労《ひろう》 | #144 疲労《ひろう》
癒《い》 | #246 や心《こころ》が癒《い》えること。
発生《はっせい》 | #499 《かいじょう》で発生《はっせい》し、南《みなみ》
発行《はっこう》 | #375 )。国《くに》が発行《はっこう》する旅券《りょけ
発見《はっけん》 | #143 発見《はっけん》する
発酵《はっこう》 | #062 く》後《のち》に発酵《はっこう》させてから出荷《
発電《はつでん》 | #565 発電《はつでん》方法《ほうほう》
発音記号《はつおんきごう》 | #384 発音記号《はつおんきごう》
登場《とうじょう》 | #221 々《かみがみ》が登場《とうじょう》する。
登山者《とざんしゃ》 | #311 estic>で、登山者《とざんしゃ》たちは言葉《こと
登山道《とざんどう》 | #034 登山道《とざんどう》の入口《いりぐち
登校時《とうこうじ》 | #232 登校時《とうこうじ》、校門《こうもん
白人《はくじん》 | #344 白人《はくじん》でない
白地《しろぢ》 | #604 磁器《じき》で、白地《しろぢ》に藍《あい》の絵
白鳥《はくちょう》 | #213 白鳥《はくちょう》のヒナ
白黒《しろくろ》 | #119 》の<cow>は白黒《しろくろ》のまだら模様《も
百分率《ひゃくぶんりつ》 | #377 nt(100)。百分率《ひゃくぶんりつ》。
的《てき》 | #078 ーツの矢《や》が的《てき》のど｜真ん中《ま
皇居《こうきょ》 | #367 alace = 皇居《こうきょ》。
盆栽《ぼんさい》 | #253 <hobby>は盆栽《ぼんさい》で、休《やす》み
盤上《ばんじょう》 | #085 洋《せいよう》の盤上《ばんじょう》ゲーム。chec
目印《めじるし》 | #033 目印《めじるし》
目撃者《もくげきしゃ》 | #333 んにん》どころか目撃者《もくげきしゃ》すら現《あらわ》
目玉《めだま》 | #541 光《かんこう》の目玉《めだま》になっている。
直伝《じきでん》 | #449 つ。祖母《そぼ》直伝《じきでん》の｜食べ方《たべ
直火《じかび》 | #028  パン屋《や》。直火《じかび》でなくオーブンで
相性《あいしょう》 | #120 《しょっかん》と相性《あいしょう》が抜群《ばつぐん
相棒《あいぼう》 | #374 相棒《あいぼう》
相次《あいつぎ》 | #464 する家《いえ》が相次《あいつぎ》いだ。
盾《たて》 | #529 盾《たて》
眉《まゆ》 | #234 眉《まゆ》をひそめる
真《まこと》 | #242 意見《いけん》は真《まこと》っ二《ふた》つに
真上《まうえ》 | #418 校《がっこう》の真上《まうえ》まで伸《の》びて
真犯人《しんはんにん》 | #337 》ではなかった。真犯人《しんはんにん》は飼《か》い猫《
眼科《がんか》 | #176 》がぼやけるので眼科《がんか》へ行《い》くと、
着《ちゃく》 | #111 進《すす》まず、着《ちゃく》陸《りく》だけで
矢《や》 | #078 ダーツの矢《や》が的《てき》のど
矢印《やじるし》 | #148 矢印《やじるし》
知事《ちじ》 | #324 知事《ちじ》
石造《いしづく》 | #379 の尾根《おね》に石造《いしづく》りの遺跡《いせき
砂丘《さきゅう》 | #075 砂丘《さきゅう》
研究所《けんきゅうしょ》 | #143 >し、市《し》の研究所《けんきゅうしょ》に報告《ほうこく
砕《くだ》 | #526 噛《か》み砕《くだ》く
硬《がた》 | #312 》が芯《しん》の硬《がた》さを17段階《だ
確保《かくほ》 | #525 まず水《みず》の確保《かくほ》が欠《か》かせな
確定《かくてい》 | #427 数《にんずう》が確定《かくてい》した。
磁器《じき》 | #604 し》を持《も》つ磁器《じき》で、白地《しろぢ
磁針《じしん》 | #345 方位《ほうい》磁針《じしん》の赤《あか》い針
礼儀正《れいぎただ》 | #215 い)+ man。礼儀正《れいぎただ》しい男性《だんせ
礼拝《れいはい》 | #091 ト教《きょう》の礼拝《れいはい》施設《しせつ》。
社員《しゃいん》 | #104 つく》っていて、社員《しゃいん》は300人《にん
社長《しゃちょう》 | #317 社長《しゃちょう》
祝勝《しゅくしょう》 | #182 祝勝《しゅくしょう》
祝賀《しゅくが》 | #076 ation = 祝賀《しゅくが》。記念日《きねん
祝賀会《しゅくがかい》 | #163 祝賀会《しゅくがかい》
神々《かみがみ》 | #221 》豊《ゆた》かな神々《かみがみ》が登場《とうじょ
神奈川県《かながわけん》 | #404 cture = 神奈川県《かながわけん》。
神殿《しんでん》 | #231 には、パルテノン神殿《しんでん》など2500年《
神経質《しんけいしつ》 | #081 神経質《しんけいしつ》な
禁煙《きんえん》 | #484 oking = 禁煙《きんえん》。
福神漬《ふくじんづけ》 | #503 て食《た》べる。福神漬《ふくじんづけ》けまで残《のこ》
私道《しどう》 | #154 家《いえ》の私道《しどう》
秒読《びょうよ》 | #117 tdown = 秒読《びょうよ》み。Count 
秒速《びょうそく》 | #162 evator>は秒速《びょうそく》10メートルで上
移民《いみん》 | #005 ヨーロッパからの移民《いみん》
税金《ぜいきん》 | #556 税金《ぜいきん》
稲刈《いねか》 | #184 植《たう》えから稲刈《いねか》りまで、季節《き
積み重《つみかさ》 | #445 動《こうどう》の｜積み重《つみかさ》ねが命《いのち》
突起《とっき》 | #048 raille>の突起《とっき》がついていて、指
窒素《ちっそ》 | #359 窒素《ちっそ》
立体《りったい》 | #456 って作《つく》る立体《りったい》作品《さくひん》
立地《りっち》 | #258 好《ぜっこう》の立地《りっち》だった。
章《しょう》 | #362 章《しょう》
童話《どうわ》 | #226 童話《どうわ》に出《で》てくる
竹馬《たけうま》 | #590 竹馬《たけうま》
第《だい》 | #505 stage = 第《だい》1段階《だんかい
筆算《ひっさん》 | #272 、私《わたし》が筆算《ひっさん》を｜書き始《かき
筆談《ひつだん》 | #217 筆談《ひつだん》
等《ひと》 | #168 等《ひと》しい
筋《すじ》 | #275 ょうはんしん》の筋《すじ》トレだけ続《つづ
答辞《とうじ》 | #535 つぎょうしき》の答辞《とうじ》の途中《とちゅう
算《さん》 | #011 桁《けた》のかけ算《さん》を解《と》き、テ
管弦楽団《かんげんがくだん》 | #354 管弦楽団《かんげんがくだん》。バイオリンや管
管楽器《かんがっき》 | #354 》。バイオリンや管楽器《かんがっき》の大編成《だいへ
管状《かんじょう》 | #572 長《ほそなが》い管状《かんじょう》の容器《ようき》
米粒《こめつぶ》 | #520 ら、今《いま》も米粒《こめつぶ》ひとつ残《のこ》
精密《せいみつ》 | #014 思《おも》えない精密《せいみつ》さで石《いし》が
紅潮《こうちょう》 | #368 紅潮《こうちょう》した
紅葉《こうよう》 | #066 ープルシロップと紅葉《こうよう》で有名《ゆうめい
紛争《ふんそう》 | #283 nalist>は紛争《ふんそう》地《ち》に入《は
素材《そざい》 | #098 区別《くべつ》。素材《そざい》としての布《ぬの
紫色《むらさきいろ》 | #044 《か》りをした。紫色《むらさきいろ》に熟《じゅく》し
紳士《しんし》 | #215 紳士《しんし》
終了《しゅうりょう》 | #575 終了《しゅうりょう》
終了間際《しゅうりょうまぎわ》 | #061 eater = 終了間際《しゅうりょうまぎわ》の得点《とくてん
終業《しゅうぎょう》 | #420 終業《しゅうぎょう》のチャイムが<r
経歴《けいれき》 | #070 経歴《けいれき》
経済学《けいざいがく》 | #101 ollege>で経済学《けいざいがく》を学《まな》んで
経済的《けいざいてき》 | #392 経済的《けいざいてき》な
経由《けいゆ》 | #356 ん》へはイギリス経由《けいゆ》で伝《つた》わり
経路《けいろ》 | #064 に避難《ひなん》経路《けいろ》を指示《しじ》し
結語《けつご》 | #477 手紙《てがみ》の結語《けつご》の定番《ていばん
絞《しぼ》 | #572 きあ》げるように絞《しぼ》ると、最後《さい
給仕《きゅうじ》 | #601 性《じょせい》の給仕《きゅうじ》係《かかり》
給水所《きゅうすいじょ》 | #031 マラソンの給水所《きゅうすいじょ》では、水《みず》
絵付《えつけ》 | #604 》に藍《あい》の絵付《えつけ》けが美《うつく》
絶妙《ぜつみょう》 | #023 のゴールすべてを絶妙《ぜつみょう》なパスで<ass
絶望《ぜつぼう》 | #135 絶望《ぜつぼう》
絶望的《ぜつぼうてき》 | #256 絶望的《ぜつぼうてき》な
絹《きぬ》 | #115 絹《きぬ》
続編《ぞくへん》 | #357 続編《ぞくへん》の
綱渡《つなわた》 | #310 《きょくげい》の綱渡《つなわた》り
綿棒《めんぼう》 | #555 綿棒《めんぼう》
綿毛《めんもう》 | #197 fluff(綿毛《めんもう》)+ -y。パン
綿花《めんか》 | #115 綿花《めんか》から作《つく》る
緊急事態《きんきゅうじたい》 | #163 緊急事態《きんきゅうじたい》
総理大臣《そうりだいじん》 | #324 ister = 総理大臣《そうりだいじん》。
編隊《へんたい》 | #213 >がV字《じ》の編隊《へんたい》を組《く》んで飛
編集長《へんしゅうちょう》 | #283 編集長《へんしゅうちょう》だけ
緩衝材《かんしょうざい》 | #361 《ひら》けると、緩衝材《かんしょうざい》の中《なか》から
練習会《れんしゅうかい》 | #110 練習会《れんしゅうかい》
縁《へり》 | #279 。生地《きじ》の縁《へり》はもちもちで香《
縁日《えんにち》 | #594 屋敷《やしき》、縁日《えんにち》など、<vari
織物《おりもの》 | #604 織物《おりもの》
羊毛《ようもう》 | #115 羊毛《ようもう》
美術部《びじゅつぶ》 | #037 私《わたし》は美術部《びじゅつぶ》に<belong
群《むら》 | #025 虫《はねむし》が群《むら》がって渦《うず》
群衆《ぐんしゅう》 | #124 crowd(群衆《ぐんしゅう》)+ -ed。b
義務化《ぎむか》 | #302 シートベルトの義務化《ぎむか》によって、毎年《
義援金《ぎえんきん》 | #079 額《ぜんがく》が義援金《ぎえんきん》として送《おく》
羽《わ》 | #213 ずうみ》には30羽《わ》ほどの<gees
羽織《はおり》 | #281 jacket>を羽織《はおり》って登校《とうこ
羽虫《はねむし》 | #025 は小《ちい》さな羽虫《はねむし》が群《むら》がっ
習字《しゅうじ》 | #481 祖父《そふ》は習字《しゅうじ》の筆《ふで》を<
翻案《ほんあん》 | #357 コピーや翻案《ほんあん》の元《もと》にな
翻訳機《ほんやくき》 | #217 翻訳機《ほんやくき》
翻訳者《ほんやくしゃ》 | #564 lator = 翻訳者《ほんやくしゃ》。
老後《ろうご》 | #087 老後《ろうご》
考案者《こうあんしゃ》 | #048 考案者《こうあんしゃ》ルイ・ブライユの
耐《た》 | #034 のぬいぐるみ。「耐《た》える」の動詞《ど
耳元《みみもと》 | #611 があるときだけ、耳元《みみもと》で<whispe
聴力《ちょうりょく》 | #176 聴力《ちょうりょく》
肉眼《にくがん》 | #097 んさつ》すると、肉眼《にくがん》では見《み》えな
肥料《ひりょう》 | #458 肥料《ひりょう》
肥満《ひまん》 | #507 肥満《ひまん》
育児《いくじ》 | #399 ゆうたいるい》の育児《いくじ》嚢《のう》も同《
肺《はい》 | #247 肺《はい》
胃《い》 | #247 胃《い》
胴衣《どうい》 | #281 命《きゅうめい》胴衣《どうい》。
胸部《きょうぶ》 | #086 胸部《きょうぶ》。「たんす(ch
腫《は》 | #246 腫《は》れる
膝《ひざ》 | #246 すりむいた膝《ひざ》は、1週間《しゅ
膨《ふく》 | #321 膨《ふく》らむ
臆病《おくびょう》 | #050 臆病《おくびょう》な
自慢《じまん》 | #106 自慢《じまん》する
自然災害《しぜんさいがい》 | #141 aster = 自然災害《しぜんさいがい》。
自然環境《しぜんかんきょう》 | #167 かんきょう》の。自然環境《しぜんかんきょう》・周囲《しゅうい
自給《じきゅう》 | #491 んりょく》をほぼ自給《じきゅう》している。
航海《こうかい》 | #568 目指《めざ》して航海《こうかい》する。
船旅《ふなたび》 | #254 船旅《ふなたび》
船酔《ふなよ》 | #368 船酔《ふなよ》いした友人《ゆう
色々《いろいろ》 | #352 うわさは色々《いろいろ》流《なが》れたが
色《しょく》 | #418 w>がかかり、7色《しょく》のアーチが学校《
色彩《しきさい》 | #138 い。片《へん》や色彩《しきさい》、片《へん》や明
色紙《しきし》 | #460 員《ぜんいん》で色紙《しきし》を渡《わた》し、
花粉《かふん》 | #443 花粉《かふん》の季節《きせつ》
苦《くる》 | #520 m ~ = 〜に苦《くる》しむ。
苦情《くじょう》 | #106 laint = 苦情《くじょう》。
英世《ひでよ》 | #218 。野口《のぐち》英世《ひでよ》が研究《けんきゅ
英語圏《えいごけん》 | #282 英語圏《えいごけん》でとても多《おお
茂《しげ》 | #315 ちめん》にヨシが茂《しげ》り、タンチョウが
草取《くさとり》 | #243 草取《くさとり》り
荒《あ》 | #566 畑《はたけ》を荒《あ》らすイノシシ対策
荷《か》 | #360 荷《か》ほどきする
落ち葉《おちば》 | #230 ｜落ち葉《おちば》
落とし物《おとしもの》 | #211 ｜落とし物《おとしもの》
落差《らくさ》 | #596 uela>には、落差《らくさ》979メートルと
落胆《らくたん》 | #474 しない(サイ)。落胆《らくたん》や安堵《あんど》
落語《らくご》 | #016 落語《らくご》
著者《ちょしゃ》 | #549 著者《ちょしゃ》
蒸《じょう》 | #047 蒸《じょう》らす
蒸《む》 | #028 蒸《む》す
蔵書《ぞうしょ》 | #531 蔵書《ぞうしょ》
薄切《うすぎ》 | #036 き焼《や》きには薄切《うすぎ》りの<beef>
薄手《うすで》 | #281 ツの上《うえ》に薄手《うすで》の<jacket
蚊《か》 | #280 蚊《か》に刺《さ》された
蛇口《じゃぐち》 | #046 蛇口《じゃぐち》
蜜《みつ》 | #019 も》く、かじると蜜《みつ》があふれた。
蝶番《ちょうつがい》 | #290 蝶番《ちょうつがい》
血の気《ちのけ》 | #368 ｜血の気《ちのけ》が引《ひ》いた顔
行《おこ》 | #391 》けをテーマに4行《おこ》の<poem>を
行方不明《ゆくえふめい》 | #487 《かたほう》だけ行方不明《ゆくえふめい》になる。わが家《
行方不明者《ゆくえふめいしゃ》 | #326 erson = 行方不明者《ゆくえふめいしゃ》。
行為《こうい》 | #277 nsult>する行為《こうい》だ。
行進曲《こうしんきょく》 | #307 行進曲《こうしんきょく》
街区《がいく》 | #589 はんたいがわ》の街区《がいく》に出《で》てしま
街灯《がいとう》 | #025 夜《よる》の街灯《がいとう》は虫《むし》を<
街道《かいどう》 | #463 》の町《まち》や街道《かいどう》が整備《せいび》
衣類《いるい》 | #209 衣類《いるい》
表彰《ひょうしょう》 | #045 を呼《よ》ばれて表彰《ひょうしょう》され、彼《かれ》
表記《ひょうき》 | #330 Mt.>フジ」と表記《ひょうき》される。山《やま
被災地《ひさいち》 | #079 被災地《ひさいち》を支援《しえん》
袴姿《はかますがた》 | #382 《こうしゃ》と、袴姿《はかますがた》の生徒《せいと》
裂《さ》 | #226 主《かいぬし》に裂《さ》かれてしまう。
裏山《うらやま》 | #030 裏山《うらやま》の<bamboo
裏庭《うらにわ》 | #027 裏庭《うらにわ》
裏返《うらかえ》 | #043 《いっしゅん》で裏返《うらかえ》った。帽子《ぼう
補欠《ほけつ》 | #068 補欠《ほけつ》
補給《ほきゅう》 | #031 エネルギー補給《ほきゅう》の定番《ていばん
裸足《はだし》 | #151 裸足《はだし》の
製《せい》 | #618 プラスチック製《せい》の
製本《せいほん》 | #564 製本《せいほん》する
製造会社《せいぞうがいしゃ》 | #312 製造会社《せいぞうがいしゃ》
製造業《せいぞうぎょう》 | #274 さんぎょう》の。製造業《せいぞうぎょう》・〜業《ぎょう》
製造者《せいぞうしゃ》 | #312 e + -er。製造者《せいぞうしゃ》。
複製《ふくせい》 | #122 複製《ふくせい》する
襟《えり》 | #390 襟《えり》
西海岸《にしかいがん》 | #158 シントンがあり、西海岸《にしかいがん》とは3時間《じか
西表《いりおもて》 | #614 西表《いりおもて》島《しま》の<w
西部《せいぶ》 | #158 西部《せいぶ》の
西隣《にしどなり》 | #331 》ビルマ。タイの西隣《にしどなり》の国《くに》。
見《けん》 | #098 げると、ガラスは見《けん》違《ちが》えるほ
見学者《けんがくしゃ》 | #619 見学者《けんがくしゃ》
見当《みあ》 | #326 見当《みあ》たらない
見抜《みぬ》 | #327 見抜《みぬ》いた
見方《みかた》 | #054 けん》は、ものの見方《みかた》を<broade
見晴《みは》 | #431 中《とちゅう》、見晴《みは》らしのよい岩場《
見物《けんぶつ》 | #171 見物《けんぶつ》
見知《みし》 | #513 anger = 見知《みし》らぬ人《にん》。
見破《みやぶ》 | #310 ても誰《だれ》も見破《みやぶ》れなかった。
見終《みお》 | #452 ary>すぎて、見終《みお》わった夜《よる》
見落《みお》 | #025 見落《みお》とす
見間違《みまちが》 | #327 見間違《みまちが》えた
視力《しりょく》 | #176 視力《しりょく》
視線《しせん》 | #438 》に揺《ゆ》れ、視線《しせん》の高《たか》さに
視覚《しかく》 | #041 視覚《しかく》に障害《しょうが
視野《しや》 | #054 n(〜にする)。視野《しや》を広《ひろ》げる
覗《のぞ》 | #290 ole>があり、覗《のぞ》き込《こ》むと向
観光名所《かんこうめいしょ》 | #274 観光名所《かんこうめいしょ》
観光船《かんこうせん》 | #610 観光船《かんこうせん》の前方《ぜんぽう
観客数《かんきゃくすう》 | #455 観客数《かんきゃくすう》
角《かく》 | #113 》わったとおり、角《かく》を曲《ま》がると
解決策《かいけつさく》 | #493 ution = 解決策《かいけつさく》。問題《もんだい
解錠《かいじょう》 | #304 nlock = 解錠《かいじょう》する。locke
言論《げんろん》 | #203 peech = 言論《げんろん》の自由《じゆう》
計《はか》 | #188 らだ》がだるく、計《はか》ると38.5度《
計測《けいそく》 | #235 計測《けいそく》する
計算練習《けいさんれんしゅう》 | #512 計算練習《けいさんれんしゅう》
討論《とうろん》 | #392 《まえ》のテレビ討論《とうろん》では、各党《かく
記事《きじ》 | #283 》の声《こえ》を記事《きじ》にして世界《せか
記念《きねん》 | #029 開店《かいてん》記念《きねん》でもらった赤《あ
記念品《きねんひん》 | #569 《ゆうしょう》の記念品《きねんひん》。杯《はい》の形
記念日《きねんび》 | #076 賀《しゅくが》。記念日《きねんび》を祝《いわ》う。
記録係《きろくがかり》 | #298 記録係《きろくがかり》
設備《せつび》 | #177 物《たてもの》・設備《せつび》。
設立《せつりつ》 | #037 設立《せつりつ》する
設置《せっち》 | #566 の<trap>が設置《せっち》され、1週間《し
設計士《せっけいし》 | #056 設計士《せっけいし》だけ
許可《きょか》 | #009 許可《きょか》する
証明《しょうめい》 | #459 〜を証明《しょうめい》する
評論家《ひょうろんか》 | #121 評論家《ひょうろんか》
試《ため》 | #571 試《ため》す
試合開始《しあいかいし》 | #291 ckoff = 試合開始《しあいかいし》。
詩人《しじん》 | #364 詩人《しじん》
誌《し》 | #309 月刊《げっかん》誌《し》など定期刊行物《
語呂《ごろ》 | #577 る。11と22の語呂《ごろ》合《あ》わせだ。
語形《ごけい》 | #491 sun のラテン語形《ごけい》から。
誠実《せいじつ》 | #477 sincere(誠実《せいじつ》な)+ -ly。
読み返《よみかえ》 | #136 まえ》のページを｜読み返《よみかえ》すと、悩《なや》
調理法《ちょうりほう》 | #437 っくり焼《や》く調理法《ちょうりほう》。
論文《ろんぶん》 | #391 論文《ろんぶん》
論評《ろんぴょう》 | #102 《どうし》では「論評《ろんぴょう》する」。
講演会《こうえんかい》 | #174 講演会《こうえんかい》
警戒心《けいかいしん》 | #205 警戒心《けいかいしん》の強《つよ》い
議会《ぎかい》 | #404 に知事《ちじ》と議会《ぎかい》が置《お》かれて
議論《ぎろん》 | #242 徳《どうとく》の議論《ぎろん》で、クラスの意見
谷《たに》 | #052 川《かわ》や谷《たに》をまたぐ建造物《
豆《まめ》 | #062 》で育《そだ》つ豆《まめ》で、収穫《しゅう
豆粒《まめつぶ》 | #180 が見《み》えた。豆粒《まめつぶ》ほどの光《ひかり
豆腐《とうふ》 | #319 豆腐《とうふ》
豊《ゆた》 | #221 、個性《こせい》豊《ゆた》かな神々《かみが
豊富《ほうふ》 | #500 ぱく質《しつ》が豊富《ほうふ》だ。
